2020-12-13 16:17:00,281 : INFO : Video Imported: C:\Users\Mahe\Documents\important\college\internships\genzellab\projects\hm_tracking\vids\stitched.mp4
2020-12-13 16:17:36,780 : INFO : Recording Trial 1
2020-12-13 16:18:13,587 : INFO : The rat position is: (480, 160) @ 315
2020-12-13 16:18:13,728 : INFO : The rat position is: (480, 160) @ 315
2020-12-13 16:18:13,869 : INFO : The rat position is: (463, 176) @ 315
2020-12-13 16:18:14,029 : INFO : The rat position is: (465, 172) @ 315
2020-12-13 16:18:14,172 : INFO : The rat position is: (461, 180) @ 315
2020-12-13 16:18:14,303 : INFO : The rat position is: (458, 184) @ 315
2020-12-13 16:18:14,445 : INFO : The rat position is: (457, 186) @ 315
2020-12-13 16:18:14,576 : INFO : The rat position is: (455, 191) @ 315
2020-12-13 16:18:14,707 : INFO : The rat position is: (448, 200) @ 316
2020-12-13 16:18:14,980 : INFO : The rat position is: (442, 211) @ 316
2020-12-13 16:18:15,131 : INFO : The rat position is: (447, 203) @ 316
2020-12-13 16:18:15,257 : INFO : The rat position is: (447, 203) @ 316
2020-12-13 16:18:15,410 : INFO : The rat position is: (446, 204) @ 316
2020-12-13 16:18:15,552 : INFO : The rat position is: (441, 208) @ 316
2020-12-13 16:18:15,689 : INFO : The rat position is: (441, 210) @ 316
2020-12-13 16:18:15,824 : INFO : The rat position is: (438, 211) @ 316
2020-12-13 16:18:15,963 : INFO : The rat position is: (437, 212) @ 316
2020-12-13 16:18:16,096 : INFO : The rat position is: (427, 211) @ 316
2020-12-13 16:18:16,227 : INFO : The rat position is: (412, 212) @ 316
2020-12-13 16:18:16,359 : INFO : The rat position is: (410, 210) @ 322
2020-12-13 16:18:16,470 : INFO : The rat position is: (405, 209) @ 322
2020-12-13 16:18:16,621 : INFO : The rat position is: (398, 210) @ 322
2020-12-13 16:18:16,742 : INFO : The rat position is: (402, 210) @ 322
2020-12-13 16:18:16,863 : INFO : The rat position is: (396, 209) @ 322
2020-12-13 16:18:17,012 : INFO : The rat position is: (395, 209) @ 322
2020-12-13 16:18:17,146 : INFO : The rat position is: (395, 208) @ 322
2020-12-13 16:18:17,287 : INFO : The rat position is: (395, 209) @ 322
2020-12-13 16:18:17,417 : INFO : The rat position is: (395, 210) @ 322
2020-12-13 16:18:17,548 : INFO : The rat position is: (393, 212) @ 322
2020-12-13 16:18:17,687 : INFO : The rat position is: (393, 212) @ 322
2020-12-13 16:18:17,811 : INFO : The rat position is: (394, 211) @ 322
2020-12-13 16:18:17,942 : INFO : The rat position is: (394, 212) @ 322
2020-12-13 16:18:18,063 : INFO : The rat position is: (394, 211) @ 322
2020-12-13 16:18:18,204 : INFO : The rat position is: (395, 211) @ 322
2020-12-13 16:18:18,353 : INFO : The rat position is: (394, 208) @ 322
2020-12-13 16:18:18,497 : INFO : The rat position is: (380, 193) @ 322
2020-12-13 16:18:18,628 : INFO : The rat position is: (378, 186) @ 322
2020-12-13 16:18:18,778 : INFO : The rat position is: (378, 186) @ 322
2020-12-13 16:18:18,888 : INFO : The rat position is: (382, 190) @ 322
2020-12-13 16:18:19,050 : INFO : The rat position is: (383, 193) @ 322
2020-12-13 16:18:19,203 : INFO : The rat position is: (388, 205) @ 322
2020-12-13 16:18:19,356 : INFO : The rat position is: (411, 214) @ 322
2020-12-13 16:18:19,487 : INFO : The rat position is: (409, 212) @ 322
2020-12-13 16:18:19,639 : INFO : The rat position is: (421, 213) @ 322
2020-12-13 16:18:19,779 : INFO : The rat position is: (422, 212) @ 316
2020-12-13 16:18:19,920 : INFO : The rat position is: (426, 211) @ 316
2020-12-13 16:18:20,154 : INFO : The rat position is: (443, 210) @ 316
2020-12-13 16:18:20,306 : INFO : The rat position is: (443, 210) @ 316
2020-12-13 16:18:20,445 : INFO : The rat position is: (448, 203) @ 316
2020-12-13 16:18:20,596 : INFO : The rat position is: (459, 187) @ 316
2020-12-13 16:18:20,729 : INFO : The rat position is: (468, 170) @ 315
2020-12-13 16:18:20,881 : INFO : The rat position is: (469, 170) @ 315
2020-12-13 16:18:21,012 : INFO : The rat position is: (476, 165) @ 315
2020-12-13 16:18:21,171 : INFO : The rat position is: (487, 163) @ 315
2020-12-13 16:18:21,302 : INFO : The rat position is: (505, 159) @ 315
2020-12-13 16:18:21,434 : INFO : The rat position is: (514, 160) @ 308
2020-12-13 16:18:21,567 : INFO : The rat position is: (515, 160) @ 308
2020-12-13 16:18:21,698 : INFO : The rat position is: (517, 160) @ 308
2020-12-13 16:18:21,839 : INFO : The rat position is: (521, 161) @ 308
